ID,Vehicles
20170701001,74
20170701011,67
20170701021,61
20170701031,56
20170701041,52
20170701051,50
20170701061,50
20170701071,53
20170701081,57
20170701091,64
20170701101,71
20170701111,76
20170701121,78
20170701131,76
20170701141,73
20170701151,71
20170701161,71
20170701171,72
20170701181,74
20170701191,75
20170701201,74
20170701211,72
20170701221,70
20170701231,66
20170702001,61
20170702011,55
20170702021,50
20170702031,45
20170702041,42
20170702051,41
20170702061,41
20170702071,44
20170702081,50
20170702091,58
20170702101,66
20170702111,72
20170702121,74
20170702131,74
20170702141,72
20170702151,71
20170702161,72
20170702171,75
20170702181,78
20170702191,80
20170702201,80
20170702211,80
20170702221,78
20170702231,76
20170703001,72
20170703011,67
20170703021,62
20170703031,58
20170703041,56
20170703051,56
20170703061,57
20170703071,61
20170703081,67
20170703091,75
20170703101,83
20170703111,90
20170703121,93
20170703131,92
20170703141,91
20170703151,90
20170703161,90
20170703171,93
20170703181,95
20170703191,96
20170703201,97
20170703211,96
20170703221,94
20170703231,90
20170704001,86
20170704011,80
20170704021,75
20170704031,70
20170704041,67
20170704051,65
20170704061,66
20170704071,69
20170704081,74
20170704091,81
20170704101,89
20170704111,94
20170704121,96
20170704131,95
20170704141,93
20170704151,91
20170704161,91
20170704171,93
20170704181,95
20170704191,96
20170704201,96
20170704211,94
20170704221,92
20170704231,88
20170705001,84
20170705011,78
20170705021,72
20170705031,68
20170705041,65
20170705051,63
20170705061,64
20170705071,67
20170705081,72
20170705091,80
20170705101,87
20170705111,93
20170705121,95
20170705131,94
20170705141,92
20170705151,91
20170705161,91
20170705171,93
20170705181,95
20170705191,96
20170705201,96
20170705211,95
20170705221,93
20170705231,89
20170706001,85
20170706011,79
20170706021,73
20170706031,69
20170706041,66
20170706051,64
20170706061,65
20170706071,68
20170706081,73
20170706091,81
20170706101,88
20170706111,94
20170706121,96
20170706131,95
20170706141,93
20170706151,91
20170706161,91
20170706171,93
20170706181,95
20170706191,96
20170706201,96
20170706211,94
20170706221,92
20170706231,89
20170707001,84
20170707011,78
20170707021,72
20170707031,67
20170707041,64
20170707051,63
20170707061,63
20170707071,66
20170707081,71
20170707091,78
20170707101,86
20170707111,91
20170707121,93
20170707131,92
20170707141,89
20170707151,88
20170707161,88
20170707171,89
20170707181,91
20170707191,91
20170707201,91
20170707211,89
20170707221,86
20170707231,82
20170708001,77
20170708011,71
20170708021,65
20170708031,60
20170708041,56
20170708051,54
20170708061,54
20170708071,56
20170708081,61
20170708091,68
20170708101,75
20170708111,80
20170708121,82
20170708131,80
20170708141,77
20170708151,75
20170708161,75
20170708171,76
20170708181,78
20170708191,78
20170708201,78
20170708211,76
20170708221,74
20170708231,70
20170709001,65
20170709011,59
20170709021,53
20170709031,49
20170709041,46
20170709051,44
20170709061,45
20170709071,48
20170709081,54
20170709091,61
20170709101,69
20170709111,76
20170709121,78
20170709131,78
20170709141,76
20170709151,75
20170709161,76
20170709171,79
20170709181,81
20170709191,83
20170709201,84
20170709211,84
20170709221,82
20170709231,80
20170710001,76
20170710011,71
20170710021,66
20170710031,62
20170710041,60
20170710051,60
20170710061,61
20170710071,65
20170710081,71
20170710091,79
20170710101,87
20170710111,94
20170710121,97
20170710131,96
20170710141,94
20170710151,93
20170710161,94
20170710171,97
20170710181,99
20170710191,100
20170710201,101
20170710211,99
20170710221,97
20170710231,94
20170711001,90
20170711011,84
20170711021,78
20170711031,74
20170711041,71
20170711051,69
20170711061,70
20170711071,73
20170711081,78
20170711091,85
20170711101,93
20170711111,98
20170711121,100
20170711131,99
20170711141,97
20170711151,95
20170711161,95
20170711171,97
20170711181,99
20170711191,100
20170711201,100
20170711211,98
20170711221,96
20170711231,92
20170712001,88
20170712011,82
20170712021,76
20170712031,72
20170712041,68
20170712051,67
20170712061,68
20170712071,71
20170712081,76
20170712091,83
20170712101,91
20170712111,97
20170712121,99
20170712131,98
20170712141,96
20170712151,95
20170712161,95
20170712171,97
20170712181,99
20170712191,100
20170712201,100
20170712211,99
20170712221,97
20170712231,93
20170713001,89
20170713011,83
20170713021,77
20170713031,73
20170713041,70
20170713051,68
20170713061,69
20170713071,72
20170713081,77
20170713091,84
20170713101,92
20170713111,98
20170713121,100
20170713131,99
20170713141,97
20170713151,95
20170713161,95
20170713171,97
20170713181,99
20170713191,100
20170713201,100
20170713211,98
20170713221,96
20170713231,92
20170714001,88
20170714011,82
20170714021,76
20170714031,71
20170714041,68
20170714051,67
20170714061,67
20170714071,70
20170714081,75
20170714091,82
20170714101,90
20170714111,95
20170714121,97
20170714131,96
20170714141,93
20170714151,91
20170714161,91
20170714171,93
20170714181,95
20170714191,95
20170714201,95
20170714211,93
20170714221,90
20170714231,86
20170715001,81
20170715011,75
20170715021,69
20170715031,64
20170715041,60
20170715051,58
20170715061,58
20170715071,60
20170715081,65
20170715091,72
20170715101,79
20170715111,84
20170715121,85
20170715131,84
20170715141,81
20170715151,79
20170715161,79
20170715171,80
20170715181,82
20170715191,82
20170715201,82
20170715211,80
20170715221,77
20170715231,74
20170716001,69
20170716011,63
20170716021,57
20170716031,53
20170716041,49
20170716051,48
20170716061,49
20170716071,52
20170716081,58
20170716091,65
20170716101,73
20170716111,79
20170716121,82
